﻿id,type,knowledge,question,options,answer,explanation
zl001,single,增长率计算,某公司2022年营业收入为500万元，2023年营业收入为600万元。该公司2023年营业收入同比增长了多少？,10%|||15%|||20%|||25%,2,增长率=(现期量-基期量)÷基期量×100%=(600-500)÷500×100%=20%。
zl002,single,比重计算,某班有学生50人，其中男生20人，女生30人。女生占全班人数的比重为多少？,20%|||30%|||40%|||50%,2,比重=部分量÷整体量×100%=30÷50×100%=40%。
zl003,single,平均数计算,某公司5名员工的月收入分别为：6000、7000、8000、9000、10000元。该公司员工的月平均收入是多少元？,7000|||8000|||8500|||9000,1,平均数=总量÷个数=(6000+7000+8000+9000+10000)÷5=40000÷5=8000元。
zl004,single,倍数关系,某工厂2020年产值为200万元，2023年产值为800万元。2023年的产值是2020年的多少倍？,2倍|||3倍|||4倍|||8倍,2,倍数=现期量÷基期量=800÷200=4倍。
zl005,single,百分点概念,某城市2022年空气质量优良率为70%，2023年优良率为75%。2023年优良率比2022年上升了多少个百分点？,3个百分点|||5个百分点|||7个百分点|||10个百分点,1,百分点是百分点之间的差值单位。75%-70%=5个百分点。
zl006,single,增长率计算,某公司2023年营业收入为800万元，比2022年增长25%。该公司2022年营业收入为多少万元？,620万元|||630万元|||640万元|||650万元,3,基期值=现期值÷(1+增长率)=800÷1.25=640万元。
zl007,single,基期值计算,某企业2023年利润为150万元，同比增长20%。2022年的利润为多少万元？,120万元|||125万元|||130万元|||135万元,1,基期值=现期值÷(1+增长率)=150÷1.2=125万元。
zl008,single,比重计算,某班有学生40人，其中男生24人。女生占全班人数的比重为多少？,30%|||35%|||40%|||45%,2,女生人数=40-24=16人，比重=16÷40×100%=40%。
zl009,single,比重变化判断,2023年某公司销售额增长15%，其中东部地区销售额增长25%。东部地区销售额占公司总销售额的比重相比上年有何变化？,上升|||下降|||不变|||无法判断,0,判断比重变化：部分增长率(25%) > 整体增长率(15%)，所以比重上升。
zl010,single,平均数计算,某公司5名员工的月收入分别为：5000、6000、7000、8000、9000元。该公司员工的月平均收入是多少元？,6500元|||7000元|||7500元|||8000元,1,平均数=(5000+6000+7000+8000+9000)÷5=35000÷5=7000元。
