﻿id,type,knowledge,question,options,answer,explanation
yy001,single,主旨概括,这段文字的主要观点是："诚信是市场经济的基石，是企业生存发展的根本，也是社会和谐的重要保障。",诚信是市场经济的基石|||诚信是企业生存发展的根本|||诚信是社会和谐的重要保障|||诚信具有多重重要价值,3,三个分句都是诚信的具体表现，但选项D"诚信具有多重重要价值"是对全句的综合概括，最能体现主要观点。
yy002,single,意图判断,文段："某市为了缓解交通拥堵，宣布将在主城区征收拥堵费。此举引发市民热议，有人支持，有人反对。"作者最想表达的是：,拥堵费能有效缓解交通拥堵|||拥堵费引发市民热议|||某市宣布征收拥堵费|||拥堵费政策值得商榷,3,文段客观陈述了拥堵费政策及其引发的争议，"有人支持，有人反对"暗示该政策存在争议，作者意图是提示该政策值得商榷。
yy003,single,词句理解,文段："面对困难，我们不能退缩，而要迎难而上。"句中"迎难而上"的意思是：,遇到困难就后退|||遇到困难勇敢面对|||遇到困难绕道走|||遇到困难停下来,1,根据文意，"迎难而上"与"退缩"相对，意思是遇到困难不畏惧，勇敢面对。
yy004,single,逻辑填空,依次填入横线处最恰当的一项是："学习要____，不能____。",勤奋 懒惰|||刻苦 投机取巧|||坚持 放弃|||努力 懈怠,2,学习需要持续性，"坚持"与"放弃"形成最恰当的反义对比，体现学习应有的态度。
yy005,single,语句排序,将下列句子排列成一段连贯的话，正确顺序是：①科技改变生活 ②智能手机普及 ③人们沟通更便捷 ④社交方式多样化,①②③④|||②①③④|||①②④③|||②①④③,0,①"科技改变生活"是总起，②"智能手机普及"是科技的具体体现，③"沟通更便捷"是普及后的效果，④是进一步延伸，符合逻辑递进顺序。
yy006,single,主旨概括,文段："教育的本质不是灌满一桶水，而是点燃一把火。"这段话的主要含义是：,教育要给学生灌满知识|||教育要激发学生学习兴趣|||教育要多用水桶|||教育不需要火,1,"灌满一桶水"比喻灌输知识，"点燃一把火"比喻激发兴趣。文段意在强调教育应激发学生的内在动力和兴趣。
yy007,single,意图判断,文段："某地区教育资源分配不均，城乡差距明显，城市学校条件优越，农村学校设施落后。"作者暗示的主旨是：,城市学校比农村学校好|||应该促进教育公平|||农村学校需要改善设施|||教育资源分配已经合理,1,文段客观描述了教育资源的城乡差距，暗示问题所在，意图是呼吁促进教育公平。
yy008,single,词句理解,文段："他在这件事上表现得非常"淡定"。"加点词"淡定"在句中表达的意思是：,非常紧张|||非常焦虑|||非常冷静|||非常兴奋,2,"淡定"是网络流行词，指遇到事情时保持冷静、从容不迫的态度。
yy009,single,逻辑填空,依次填入横线处最恰当的一项是："经过____努力，我们终于____了目标。",坚持 实现|||顽强 梦想|||不懈 完成|||长期 达到,0,"坚持努力"和"实现目标"是常见的固定搭配，表达最为自然流畅。
yy010,single,语句排序,将下列句子排列成一段连贯的话，正确顺序是：①养成良好习惯 ②从小事做起 ③终身受益 ④日积月累,②①④③|||①②④③|||②④①③|||④②①③,2,②"从小事做起"是起点，④"日积月累"是过程，①"养成良好习惯"是结果，③"终身受益"是意义，顺序为②④①③。
yy011,single,主旨概括,文段："心理健康与身体健康同等重要，但往往被忽视。很多人只关注身体健康而忽略心理健康。"这段话的主要观点是：,心理健康比身体健康重要|||要重视心理健康|||身体健康与心理健康同等重要|||人们只关注身体健康,1,文段在强调"同等重要"的同时指出"往往被忽视"，重点在于呼吁人们重视心理健康。
yy012,single,意图判断,文段："某城市推行垃圾分类已满一年，但分类效果仍不理想，市民分类意识有待提高。"作者意图是：,批评市民不配合|||肯定垃圾分类政策|||建议加强宣传教育|||垃圾分类没有意义,2,文段指出效果不理想和意识不足，意图是建议通过宣传教育来提高市民分类意识。
yy013,single,词句理解,文段："他做事总是____，从不拖泥带水。"横线处应填的词语是：,犹豫不决|||雷厉风行|||慢慢吞吞|||马马虎虎,1,"从不拖泥带水"说明做事干脆利落，与"雷厉风行"意思相近，形容行动迅速、做事果断。
yy014,single,逻辑填空,依次填入横线处最恰当的一项是："这个方案____可行，____需要进一步修改完善。",基本 仍然|||大体 仍然|||大致 依然|||总体 依然,0,"基本可行"和"仍然需要"是固定搭配，表达方案已有雏形但还需改进的意思。
yy015,single,语句排序,将下列句子排列成一段连贯的话，正确顺序是：①促进经济发展 ②改善生态环境 ③实现可持续发展 ④调整产业结构,④①②③|||①④②③|||④②①③|||①③④②,0,④"调整产业结构"是起点和手段，①"促进经济发展"是直接效果，②"改善生态环境"是进一步效果，③"实现可持续发展"是最终目标。
yy016,single,主旨概括,文段："创新是引领发展的第一动力。抓住了创新，就抓住了牵动经济社会发展全局的'牛鼻子'。"这段话的主要含义是：,创新是唯一动力|||要抓住创新的关键|||牛鼻子很重要|||发展需要动力,1,文段用"牛鼻子"比喻创新的关键作用，意在强调要重视和抓住创新这一核心要素。
yy017,single,意图判断,文段："某地在文化遗产保护中，重开发轻保护，导致部分文物遭到破坏。"作者意图是：,批评破坏文物的行为|||呼吁加强文化遗产保护|||肯定开发行为|||文物应该开发,1,文段指出"重开发轻保护"的危害，意图是呼吁在开发的同时加强文化遗产保护。
yy018,single,词句理解,文段："面对挫折，我们要学会____，而不是一蹶不振。"横线处应填的词语是：,放弃|||逃避|||振作|||抱怨,2,"一蹶不振"比喻一遭受挫折就再也振作不起来，与之相对的是"振作"，表示重新鼓起勇气面对挫折。
yy019,single,逻辑填空,依次填入横线处最恰当的一项是："只有____，才能____。",努力 成功|||坚持 胜利|||奋斗 进步|||付出 回报,2,"只有奋斗，才能进步"是常见且符合逻辑的因果关系表达。
yy020,single,语句排序,将下列句子排列成一段连贯的话，正确顺序是：①推动文化创新 ②传承优秀传统文化 ③增强文化自信 ④弘扬民族精神,②①④③|||②④①③|||④②①③|||①③④②,1,②"传承"是基础，④"弘扬民族精神"是精神层面，①"推动文化创新"是发展，③"增强文化自信"是目标，顺序为②④①③。
