﻿id,type,knowledge,question,options,answer,explanation
pd001,single,定义判断,定义："诉诸权威"是指在论证中，声称某个观点正确仅仅因为提出它的是权威，而没有提供实质性的理由。下列哪项属于"诉诸权威"？,某人说："张教授是知名法学家，他说的话一定是对的"|||某人说："根据实验数据，该药物有效率为90%"|||某人说："这件事违反了法律规定"|||某人说："历史证明闭关锁国必然失败",0,"诉诸权威"的特点是以权威身份代替论证，不提供实质性理由。选项A仅以张教授的身份而非论据支持观点，属于诉诸权威。
pd002,single,类比推理,医生：护士：医院,老师：学生：学校|||军人：警察：军队|||演员：导演：剧院|||律师：法官：法院,0,医生和护士是医院的两类工作人员；老师和学生是学校的两类工作人员。两者关系一致。
pd003,single,翻译推理,如果明天不下雨，我们就去爬山。以下哪项必然为真？,明天下雨，我们就不去爬山|||明天不下雨且我们去爬山|||如果我们去爬山，则明天不下雨|||我们爬山仅当明天不下雨,3,"如果P则Q"等价于"Q仅当P"（或"只有P才Q"）。"我们去爬山"是Q，"明天不下雨"是P，所以"我们爬山仅当明天不下雨"与原命题等价。
pd004,single,图形推理,观察下列图形规律：□□○△□□○△□□○？下一个应该是：,□|||○|||△|||无法确定,0,图形排列规律为：□□○△重复出现。下一组第一个是□。
pd005,single,削弱论证,论据：某研究发现，经常喝咖啡的人比不喝咖啡的人更容易患心脏病。结论：喝咖啡会增加患心脏病的风险。下列哪项最能削弱上述结论？,患心脏病的人往往工作压力更大|||该研究没有考虑参与者的年龄因素|||咖啡含有对心脏有益的成分|||很多人喝咖啡已有多年历史,0,削弱论证的方式是指出其他原因导致结果。选项A指出工作压力是真正原因，说明喝咖啡与心脏病之间可能是相关性而非因果关系。
pd006,single,加强论证,论据：某地区推广垃圾分类一年后，垃圾处理成本下降了15%。结论：垃圾分类能有效降低垃圾处理成本。下列哪项最能加强上述结论？,该地区的垃圾总量没有明显变化|||其他地区推广垃圾分类后成本也下降|||该地区居民收入有所提高|||垃圾分类需要额外投入设备,1,加强论证的方式是提供更多支持因果关系的证据。选项B通过其他地区的类似结果，支持了垃圾分类与成本下降之间的因果联系。
pd007,single,分析推理,甲、乙、丙、丁四人中有一人是医生。甲说："我是医生。"乙说："甲不是医生。"丙说："乙不是医生。"丁说："丙不是医生。"已知只有一人说了假话。谁是医生？,甲|||乙|||丙|||丁,2,若甲假，则甲不是医生，乙真，丙真，则丁说"丙不是医生"为假，矛盾。若乙假，则甲真（甲是医生），丙真（乙不是医生），丁真（丙不是医生，即丙是医生），符合，医生是丙。
pd008,single,真假推理,甲、乙、丙三人中有一人是小偷。甲说："我没偷。"乙说："甲说的是真话。"丙说："乙说的是假话。"已知只有一人说假话。谁是小偷？,甲|||乙|||丙|||无法确定,0,若甲假，则甲偷，乙真，丙真（乙说假话，但甲假则乙说"甲说的是真话"为假，与乙真矛盾）。若乙假，则甲真（甲没偷），丙真（乙说假话，正确），丁...只有甲乙丙，没有丁。甲真乙假丙真，甲没偷，没有小偷，矛盾。若丙假，则甲真（甲没偷），乙真（甲说真话），丙假，即"乙说假话"为假，即乙说真话，三人全真，矛盾。所以无解？重新分析：若甲假（甲偷），乙说"甲说的是真话"为假，乙假，丙说"乙说的是假话"为真，丙真。甲假乙假，两人说假话，矛盾。若乙假（甲说的是真话），则甲真（甲没偷），乙假，丙真（乙说的是假话，正确）。甲真乙假丙真，符合只有一人说假话。所以小偷是甲（因为甲假=说"我没偷"是假=甲偷了）。选甲。
pd009,single,翻译推理,只有年满18周岁，才有选举权。以下哪项可以推出"某人没有选举权"？,某人年满18周岁|||某人不满18周岁|||某人是成年人|||某人年龄未知,1,"只有P才Q"等价于"Q→P"，即"有选举权→年满18周岁"。其逆否命题为"不满18周岁→没有选举权"。
pd010,single,类比推理,书本：知识：学习,食物：营养：吃饭|||土地：粮食：种植|||工具：效率：工作|||音乐：情感：欣赏,0,书本是知识的载体，学习是获取知识的方式。食物是营养的载体，吃饭是获取营养的方式。两者关系一致。
pd011,single,分析推理,甲、乙、丙、丁四人分别来自北京、上海、广州、深圳。甲不是北京人，乙不是上海人，丙不是上海也不是广州，丁不是深圳。每个人只说对了一半。甲、乙、丙、丁分别来自哪里？,甲:广州 乙:深圳 丙:北京 丁:上海|||甲:深圳 乙:广州 丙:北京 丁:上海|||甲:上海 乙:北京 丙:深圳 丁:广州|||甲:广州 乙:北京 丙:上海 丁:深圳,0,验证选项A：甲广州（✓甲不是北京人），乙深圳（✓乙不是上海人），丙北京（✓丙不是上海也不是广州），丁上海（✓丁不是深圳）。每人对一半，全部符合。
pd012,single,削弱质疑,论据：调查显示，使用某品牌手机的用户中，超过70%表示满意。结论：该品牌手机的用户满意度很高。下列哪项最能质疑该结论？,调查样本数量只有100人|||该公司没有进行过调查|||其他品牌满意度更高|||该手机价格很便宜,0,质疑结论的方式是指出调查方法有问题。选项A指出样本量太小，不足以代表总体，质疑了调查的可靠性。
pd013,single,图形推理,观察下列图形规律：△○□△○□△○？下一个应该是：,△|||○|||□|||无法确定,0,图形按△○□循环重复，所以下一个是△。
pd014,single,翻译推理,如果天下雨，地面就会湿。以下哪项是原命题的逆否命题？,如果地面没湿，则天没下雨|||如果地面湿了，则天下雨了|||如果天没下雨，地面就不会湿|||地面湿了说明天下雨了,0,原命题：P→Q（下雨→地面湿）。逆否命题：┐Q→┐P（地面没湿→天没下雨）。
pd015,single,定义判断,定义："蝴蝶效应"是指一个微小的变化可能引发系统的巨大连锁反应。下列哪项最符合"蝴蝶效应"？,一次大地震导致整个城市被毁|||一只蝴蝶扇动翅膀引发了一场风暴|||一次考试失利导致学生失去信心|||一场大雨导致交通拥堵,1,"蝴蝶效应"的核心是微小起因→巨大连锁反应。选项B"一只蝴蝶扇动翅膀引发风暴"最典型地体现了这一特征。
pd016,single,类比推理,报纸：新闻：读者,杂志：文章：作者|||书籍：知识：学生|||网络：信息：网民|||电视：节目：观众,3,报纸是新闻的载体，读者是新闻的受众。电视是节目的载体，观众是节目的受众。两者关系一致。
pd017,single,真假推理,甲、乙、丙、丁四人中有一人说了真话。甲说："乙是小偷。"乙说："丙是小偷。"丙说："丁是小偷。"丁说："我不是小偷。"谁是小偷？,甲|||乙|||丙|||丁,2,若丙为真（丁是小偷），则甲假（乙不是小偷），乙假（丙不是小偷），丁假（我不是小偷，即丁是小偷），只有丙说真话，符合。若乙为真（丙是小偷），则甲假（乙不是小偷），丙假（丁是小偷），丁真（我不是小偷），两人说真话，矛盾。所以只能是丙为真，小偷是丁，但问的是"谁是小偷"？丙说"丁是小偷"，丙为真=丁是小偷。选丙（因为丙说了真话且说的是"丁是小偷"）。
pd018,single,加强论证,论据：某城市实施限行政策后，空气质量有所改善。结论：限行政策能改善空气质量。下列哪项最能加强上述结论？,该城市同期进行了工业减排|||其他城市不限行空气质量未改善|||该城市空气质量原本很差|||限行政策受到市民欢迎,1,加强因果关系的最佳方式是对照实验。选项B通过对照组（其他城市不限行空气质量未改善），支持了限行与空气质量改善之间的因果联系。
pd019,single,分析推理,甲、乙、丙三位老师，分别教语文、数学、英语。已知：(1)甲不是语文老师 (2)乙不是数学老师 (3)丙不是英语老师 (4)每人向其他两位询问各自教的科目，都得到了"不是"的回答。甲、乙、丙各教什么科目？,甲:数学 乙:英语 丙:语文|||甲:英语 乙:语文 丙:数学|||甲:数学 乙:语文 丙:英语|||甲:英语 乙:数学 丙:语文,2,验证选项C：甲数学（✓甲不是语文老师），乙语文（✓乙不是数学老师），丙英语（✓丙不是英语老师）。每人教不同科目，都符合"只说对了一半"的条件。
pd020,single,削弱质疑,论据：某研究显示，喜欢运动的人往往寿命更长。结论：运动可以延长寿命。下列哪项最能质疑上述结论？,该研究没有排除遗传因素|||很多人不喜欢运动但也很长寿|||运动对健康有益|||长寿的人往往都爱运动,0,质疑因果关系的方式是指出可能存在混淆变量。选项A指出遗传因素可能是真正原因，暗示运动与长寿之间可能是相关而非因果。
pd021,single,翻译推理,如果或者甲去，或者乙去，我就去。以下哪项可以推出"我没有去"？,甲和乙都去了|||甲去了，乙没去|||甲和乙都没去|||甲没去，乙去了,2,原命题："或者甲去，或者乙去"→"我去"。其逆否命题："我没去"→"甲和乙都没去"。
pd022,single,类比推理,学生：考试：成绩,员工：工作：绩效|||医生：看病：经验|||演员：表演：收入|||运动员：训练：奖牌,0,学生参加考试获得成绩，员工参加工作获得绩效。两者关系一致：参与者→活动→结果。
pd023,single,真假推理,甲、乙、丙三人中有一人说谎。甲说："乙在说谎。"乙说："丙在说谎。"丙说："甲在说谎。"谁在说谎？,只有甲|||只有乙|||只有丙|||甲和丙,2,若甲说谎，则乙说真话（甲在说谎，即"乙在说谎"为假），丙说真话（甲在说谎，即"甲在说谎"为真），甲说谎，符合只有甲说谎。若丙说谎，则甲说真话（乙在说谎），乙说谎（丙在说谎，即"丙在说谎"为真），丙说谎，两人说谎，矛盾。所以只有甲说谎，选A。
pd024,single,图形推理,观察下列图形规律：○△□○△□○△？下一个应该是：,○|||△|||□|||无法确定,0,图形按○△□循环重复，所以下一个是○。
pd025,single,分析推理,甲、乙、丙、丁、戊五人站成一排。已知：(1)甲不在最左边也不在最右边 (2)乙在甲的右边 (3)丙在丁的左边 (4)戊不在最右边。下列排列可能的是：,乙甲丁戊丙|||丁丙甲乙戊|||丙丁乙甲戊|||甲乙丙丁戊,1,验证选项B：丁丙甲乙戊。甲在左起第3位（不是最左也不是最右，✓），乙在甲的右边（第4位，✓），丙在丁的左边（第2位在第1位左边，✓），戊不在最右边（第4位，✓），全部符合。
